Company Name,Ticker,Sector,Industry,Market Cap (B),Stock Price,PE Ratio,EPS,Dividend Yield,52W High,52W Low,Beta,Volume,Average Volume,Shares Outstanding (M),Institutional Ownership (%),Debt/Equity,Revenue (B),Net Income (B),Gross Margin (%),Header21,Header22,Header23,Header24,Header25,Header26,Header27,Header28,Header29,Header30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brown, Cox and Patel",,Technology,,,,11.62,,3.69,,182.92,,39101009,,,,,75.93,11.39,28.01,920.89,,,989.13,,,,818.51,443.93,553.75
Arnold-Goodman,QNSI,,facilitate bleeding-edge portals,,611.34,7.38,7.87,1.28,,728.26,,81692458,36312565,1674.31,33.07,,,,,,51.52,755.38,,,597.16,,655.24,,972.28
,EBZO,Technology,synthesize vertical bandwidth,,,,,4.98,,338.36,0.5,,46945104,,33.26,0.38,276.5,4.6,,,,,170.19,,884.59,,,102.58,
"Bennett, Smith and Martin",,Technology,,18.16,,,2.01,3.5,,359.0,,37265830,,,,0.54,,,,790.39,6.12,,413.4,,77.99,,54.29,,
Davila-Bradley,,,innovate killer relationships,,940.61,34.15,,,,,1.4,,42453902,,39.49,,,11.51,,416.26,,144.02,997.78,,,46.43,,,715.08
,PLPD,,,180.41,152.45,,1.4,,613.5,736.83,1.75,,,,,,207.26,95.17,,,,158.95,584.69,,,949.64,,615.93,
Alvarez PLC,ZZFN,Technology,incubate next-generation e-markets,,,,,,,827.37,1.83,37109583,,1592.26,,,,54.99,77.13,616.08,,,,435.43,558.0,,477.09,,140.75
Beck PLC,,,,,660.09,22.45,5.81,1.75,,462.64,1.4,81488073,,,82.1,,250.72,,32.17,557.91,,,,,699.22,788.16,856.59,683.98,10.68
,,,envisioneer integrated solutions,,747.39,9.36,,0.73,632.17,,0.88,88938782,10223447,,,1.86,,35.28,74.0,93.72,748.8,,914.47,,744.1,,492.34,,416.19
,,,,,584.38,38.3,9.49,4.23,540.09,623.41,,,,,94.8,,,40.84,54.43,775.22,,75.14,588.65,,,,528.41,603.85,
Barnett-Tucker,,Technology,exploit cross-media vortals,126.5,,,5.94,1.83,,28.39,1.89,89270980,,,,1.63,,81.37,56.28,220.13,862.86,,,948.9,,,,,
Stevens-Kramer,,Technology,grow frictionless info-mediaries,182.38,528.7,41.03,,,,105.56,,,42144071,1927.29,,1.85,102.47,,23.33,,,,76.87,229.71,,895.24,981.08,,611.46
,MUTM,,,38.45,,16.75,,4.92,1048.21,,,,,,,1.39,,91.86,23.42,,931.99,450.94,,340.22,,423.88,,,472.16
Parker-Jarvis,XSLG,Technology,,289.42,876.09,41.01,,4.61,81.31,822.1,,29708282,35473550,,,,271.56,66.87,,726.83,,,,,,470.97,,,213.59
Hodge Group,VYLF,,,,,21.44,,,492.17,,1.86,,,317.91,37.81,0.19,,,59.22,,,,143.99,72.7,615.78,762.46,143.58,139.04,936.24
,LIFH,Technology,syndicate real-time functionalities,253.03,833.71,,,0.46,,378.01,,77481852,14229390,,,,143.88,,44.75,750.16,,297.7,369.28,,816.27,,,,78.95
,,Technology,harness mission-critical schemas,,241.33,,6.72,4.34,843.81,448.49,1.96,25607713,,1328.56,76.0,1.66,23.04,,,,37.1,986.96,848.91,391.11,52.92,403.51,946.54,66.28,
,,,monetize global content,,,,11.59,,312.28,,,,,,,,,,,,505.34,85.76,,478.82,627.72,279.38,,,
,XOPZ,Technology,,,,,14.8,1.81,,,1.56,57872975,,1964.09,,1.06,,,29.3,224.06,686.92,787.96,,419.35,958.9,776.96,,,446.92
,RMBX,,,,788.27,,8.14,,662.32,,1.13,86586091,,,,1.97,,,25.56,445.24,,811.5,,,873.49,3.45,,,
Miller-Odonnell,FUJF,Technology,architect virtual web-readiness,,545.39,,9.69,4.36,812.22,96.4,,32030032,,,,0.39,60.93,98.08,,,425.58,,,,207.44,76.08,156.99,215.38,263.89
,,,synthesize robust e-commerce,,,46.96,,,805.68,331.27,,,,938.69,,,,91.62,41.91,,360.24,,786.83,858.61,,,,947.9,
Owens-Frye,,Technology,,,581.42,,7.74,,,625.97,,,,781.03,,,86.54,17.13,31.09,,831.9,,,,581.99,,,,
,PXAC,Technology,exploit robust networks,308.15,,,,,226.5,799.07,0.57,,43781921,,,,32.16,58.74,,,,,465.82,,429.83,,308.81,,
,,,extend scalable supply-chains,414.78,429.86,30.66,2.44,,,,,64054685,,1409.54,,,,70.98,,428.41,,,70.03,,595.83,,888.02,,
,OZOC,,empower magnetic portals,,,,,,,,,70244654,,,,0.33,181.38,,,,,705.78,,,,309.15,729.92,,
,LCFW,,,180.48,734.65,,7.64,1.86,,,,53837106,27986657,1460.6,,0.14,,,54.67,,,,497.49,,263.01,,,,
"Navarro, Anderson and Pope",,,,,,,,,,,,89911869,,862.5,,0.4,,,,,821.46,841.06,392.21,,,595.79,,,
,,,,,,31.93,1.76,3.97,545.15,866.1,1.35,65477595,33613615,,,,,75.5,65.17,997.78,,,,885.75,,448.76,,,413.05
,OSAK,,,,,16.68,1.81,,,401.66,,19811428,,1940.73,,,,,,155.84,,,,,,,14.32,94.97,
,SXRS,,seize bricks-and-clicks schemas,161.15,,,,,,845.45,1.91,76980443,17080919,,89.99,,205.13,45.49,,271.66,,518.58,825.83,895.08,856.7,,274.5,,335.65
,LKPR,,,234.77,,17.97,,4.41,125.05,,0.52,,,529.68,91.55,0.63,114.93,50.6,34.79,,162.1,406.61,,,764.97,566.55,,877.81,749.22
,HSJM,Technology,syndicate synergistic web-readiness,373.3,845.73,,,,1048.95,529.75,,99796044,,245.9,,1.13,173.6,,48.66,,,,,,,803.81,213.34,264.31,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,215.44,,,,,519.06,,,5823035,,1590.21,,1.77,,,46.21,,,486.43,,378.76,645.88,,,,
,,Healthcare,,,,27.88,11.83,,,,1.12,41012446,23014336,,55.86,0.12,,97.5,,,,,374.01,54.09,,,,,592.35
,,,envisioneer enterprise synergies,413.01,,,,1.61,,619.21,,,,,,0.29,,1.77,28.17,80.86,878.68,,,,773.71,183.66,105.94,,333.64
